day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description,cancelled
1,12:00 PM,1:30 PM,1200,1330,ax-dance,,,Cosplay and Dance with The Corps Dance Crew,,
1,2:00 PM,3:00 PM,1400,1500,ax-dance,,,Otaku Zumba Class 101,,
1,3:30 PM,4:30 PM,1530,1630,ax-dance,,,KPOP DANCE WORKSHOP #1 Girl Group Choreo,,
1,5:00 PM,6:00 PM,1700,1800,ax-dance,,,ZERO-UCHI Restart Wotagei Workshop,,
1,8:00 PM,9:00 PM,2000,2100,ax-dance,,,Xeroh,,
1,9:00 PM,10:00 PM,2100,2200,ax-dance,,,Doujin Ronin,,
1,10:00 PM,11:00 PM,2200,2300,ax-dance,,,ASID,,
1,11:00 PM,12:00 AM,2300,0000,ax-dance,,,Neujack,,
1,12:00 AM,1:00 AM,0000,0100,ax-dance,,,AVARIX,,
1,1:00 AM,2:00 AM,0100,0200,ax-dance,,,AKIBA SONIC,,
2,12:30 PM,1:30 PM,1230,1330,ax-dance,,,ZERO-UCHI Restart Wotagei Workshop,,
2,2:30 PM,3:30 PM,1430,1530,ax-dance,,,KIGU YOGA,,
2,4:00 PM,5:00 PM,1600,1700,ax-dance,,,KPOP DANCE WORKSHOP #2 Boy Group Choreo,,
2,5:30 PM,6:30 PM,1730,1830,ax-dance,,,JPOP DANCE WORKSHOP #1,,
2,8:00 PM,9:00 PM,2000,2100,ax-dance,,,The Red Panda,,
2,9:00 PM,10:00 PM,2100,2200,ax-dance,,,Flipboitamidles,,
2,10:00 PM,11:00 PM,2200,2300,ax-dance,,,JaseCloud,,
2,11:00 PM,12:00 AM,2300,0000,ax-dance,,,Miotchi,,
2,12:00 AM,1:00 AM,0000,0100,ax-dance,,,NTXC,,
2,1:00 AM,2:00 AM,0100,0200,ax-dance,,,AKIBA SONIC,,
3,12:30 PM,1:30 PM,1230,1330,ax-dance,,,JPOP DANCE WORKSHOP #2,,
3,2:00 PM,3:30 PM,1400,1530,ax-dance,,,RANDOM PLAY DANCE ★ KPOP Edition,,
3,4:30 PM,6:00 PM,1630,1800,ax-dance,,,RANDOM PLAY DANCE ★ JPOP Edition,,
3,8:00 PM,9:00 PM,2000,2100,ax-dance,,,Vanille A,,
3,9:00 PM,10:00 PM,2100,2200,ax-dance,,,ChromeSyndicate,,
3,10:00 PM,11:00 PM,2200,2300,ax-dance,,,REDEADICA,,
3,11:00 PM,12:00 AM,2300,0000,ax-dance,,,NTXC,,
3,12:00 AM,1:00 AM,0000,0100,ax-dance,,,Welksie (Astellium),,
3,1:00 AM,2:00 AM,0100,0200,ax-dance,,,Meirlin,,
4,11:30 AM,1:30 PM,1130,1330,ax-dance,,,RANDOM PLAY DANCE ★ KPOP Edition,,
