day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description,cancelled
1,11:30 AM,12:30 PM,1130,1230,beer-garden,,,After-school Bay Time,,
1,1:30PM,2:30PM,1330,1430,beer-garden,,,ASTERISM,,
1,3:30 PM,4:30 PM,1530,1630,beer-garden,,,Mii,,
1,5:30 PM,6:30 PM,1730,1830,beer-garden,,,Lucrecia,,
1,7:30 PM,8:30 PM,1930,2030,beer-garden,,,Eririn (Astellium),,
1,9:15 PM,10:15 PM,2115,2215,beer-garden,,,Boy Hero,,
1,11:00 PM,12:00 AM,2300,0000,beer-garden,,,rocco808,,
2,11:30 AM,12:30 PM,1130,1230,beer-garden,,,Black Ros3,,
2,1:30PM,2:30PM,1330,1430,beer-garden,,,Dangle,,
2,3:30 PM,4:30 PM,1530,1630,beer-garden,,,Cam Steady,,
2,5:30 PM,6:30 PM,1730,1830,beer-garden,,,Ham Sandwich,,
2,7:30 PM,7:40PM,1930,1940,beer-garden,,,ZERO-UCHI Restart,,
2,9:00 PM,10:00 PM,2100,2200,beer-garden,,,Astellium,,
2,11:00 PM,12:00 AM,2300,0000,beer-garden,,,After-school Bay Time,,
3,11:30 AM,12:30 PM,1130,1230,beer-garden,,,Saki Rose,,
3,1:30PM,2:30PM,1330,1430,beer-garden,,,Isekai Stage,,
3,3:30 PM,4:30 PM,1530,1630,beer-garden,,,Aisha,,
3,5:30 PM,6:30 PM,1730,1830,beer-garden,,,ASTERISM,,
3,7:30 PM,8:30 PM,1930,2030,beer-garden,,,rocco808,,
3,9:15 PM,10:15 PM,2115,2215,beer-garden,,,Super MadNES,,
3,11:00 PM,12:00 AM,2300,0000,beer-garden,,,Cam Steady,,
4,11:30 AM,12:30 PM,1130,1230,beer-garden,,,Lucrecia,,
4,1:30PM,2:30PM,1330,1430,beer-garden,,,Nevos Tyler,,
