day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description,cancelled
1,1:00 PM,2:00 PM,1300,1400,lounge21,,,Sky Citizen,,
1,3:00 PM,4:00 PM,1500,1600,lounge21,,,S4X,,
1,5:00 PM,6:00 PM,1700,1800,lounge21,,,Stray Violet (Astellium),,
1,7:00 PM,8:00 PM,1900,2000,lounge21,,,Jay Andrade Quartet,,
1,9:00 PM,10:00 PM,2100,2200,lounge21,,,PINKII,,
1,11:00 PM,12:00 AM,2300,0000,lounge21,,,MEIRLIN,,
1,12:00 AM,1:00 AM,0000,0100,lounge21,,,Welksie (Astellium),,
2,1:00 PM,2:00 PM,1300,1400,lounge21,,,Bumvox,,
2,3:00 PM,4:00 PM,1500,1600,lounge21,,,Kat Padlan,,
2,5:00 PM,6:00 PM,1700,1800,lounge21,,,V!CE,,
2,7:00 PM,8:00 PM,1900,2000,lounge21,,,Jay Andrade Quartet,,
2,9:00 PM,10:00 PM,2100,2200,lounge21,,,Juliana Chahayed,,
2,10:00 PM,11:00 PM,2200,2300,lounge21,,,Xeroh,,
2,11:00 PM,12:00 AM,2300,0000,lounge21,,,ChromeSyndicate,,
2,12:00 AM,1:00 AM,0000,0100,lounge21,,,Ken Harada,,
3,1:00 PM,2:00 PM,1300,1400,lounge21,,,David Erick Ramos,,
3,3:00 PM,4:00 PM,1500,1600,lounge21,,,dj-Jo,,
3,5:00 PM,6:00 PM,1700,1800,lounge21,,,Blow Brass,,
3,8:00 PM,2:00 AM,2000,0200,lounge21,,,Closed for Private Event,,
4,1:00 PM,2:00 PM,1300,1400,lounge21,,,Colin and Steve's Lofi Living Room,,
