day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description
1,10:00 AM,10:50 AM,1000,1050,main-events,?,N,Welcome Ceremony,The Welcome Ceremony is one of the most highly anticipated main events programming. It is where many AX attendees kick off the start of their Anime Expo journey. ***This room will NOT be cleared for the next panel.***
1,10:00 AM,11:00 AM,1000,1100,jw-platinum,?,N,Senpai is an Otokonoko Early Premiere,"Don't miss an exclusive early premiere of the romantic comedy of the summer, Senpai is an Otokonoko! When Saki confesses to her crush, Makoto, he rejects her after revealing his secret to her. While unbothered by the secret, Saki perseveres and consults Makoto's childhood friend Ryuji for advice, only for Ryuji to discover he might also have some feelings for his old friend…  ***This room will NOT be cleared for the next panel.***"
1,10:00 AM,10:50 AM,1000,1050,511-ABC,?,N,"3D Printing for Cosplay: 066 - ""Are You Sure You Want a 3D Printer""",The panel will discuss the basics of 3D printing to provide prospective buyers the information to make an informed purchase.   Covers different 3D printing technologies as well as considerations and recommendations for 3D printers.  ***This room will NOT be cleared for the next panel.***
1,10:00 AM,10:50 AM,1000,1050,408-AB,?,N,The World of Masami Kurumada,"Celebrating 50 years in the industry this year, Masami Kurumada's work has influenced many in the industry from across the world, but is rarely discussed in the English speaking world. This panel aims to educate and show many of Kurumada's works. ***This room will NOT be cleared for the next panel.***"
1,10:00 AM,11:00 AM,1000,1100,411,?,N,Keynote: Researching Anime – An Introduction to Anime and Manga Studies,"Are you interested in the scholarly side of anime and manga? Join JAMS@AX Conference Runner and Editor of the Journal of Anime and Manga Studies, Billy Tringali, for a primer on the best resources for researching anime and manga!  ***This room will NOT be cleared for the next panel.***"
1,10:30 AM,11:20 AM,1030,1120,402-AB,?,N,Heaven or Hell,"From the creators of guilty or not guilty, comes Heaven or Hell! An argumentative court styled panel where you, the people, will play God and decide if a deceased character will go to heaven or hell based on their past actions!  ***This room will NOT be cleared for the next panel.***"
1,10:30 AM,11:20 AM,1030,1120,403-AB,?,N,Blue Miburo World Premiere presented by ytv animation,"Be the first to watch Blue Miburo, the brand new samurai tales, the world premiere to be followed with special guest creator and producer from ytv animation! In the final days of the Shogunate in the brutal city of Kyoto, the three samurai boys passionately dedicate their lives to creating a better world alongside the tough, skilled ruffians of Miburo.  ***This room will NOT be cleared for the next panel.***"
1,10:30 AM,11:20 AM,1030,1120,409-AB,?,N,Breaking into Manga Publishing,"Passionate about manga? Does working in the manga industry sound like your dream-job? Marketing, publishing, design, translation, licensing - there are many ways to have a career in manga, and you don’t even have to be good at drawing for most of them! Hear from a panel of manga professionals about how they got into this industry, and how you can too!  ***This room will NOT be cleared for the next panel.***"
1,10:30 AM,11:20 AM,1030,1120,404-AB,?,N,California Anime Eating & Adventures,"Wanna keep the anime vibes going even after the con is over? Join me, 7 Year Gold Yelp Elite, best photographer of SGV 2021, best all around Yelp Elite of 2022, & 19th most influential Yelp Elite of North America during my California Anime Eating & Adventures panel to learn about fun anime-related restaurants, shops, and sites!  ***This room will NOT be cleared for the next panel.***"
1,10:30 AM,11:30 AM,1030,1130,406-AB,?,N,Shoestring Scientists Presents- Furoshiki: The Art of Japanese cloth wrapping,"Have you ever watched an anime character unwrap a Bento box and thought, “That's an awesome way to wrap a lunch! I want to do that!” Well that's what this workshop is about! Furoshiki is the traditional Japanese art of wrapping everyday parcels for carrying, and this workshop will teach you multiple common methods and techniques for wrapping and tying.  ***This room will NOT be cleared for the next panel.***"
1,11:00 AM,11:50 AM,1100,1150,petree-hall,?,N,"Orange Studio Unveiling: TRIGUN STAMPEDE, BEASTARS and...","Welcome to Big Orange Studio Day! Orange proudly presents an exclusive showcase featuring TRIGUN STAMPEDE, BEASTARS, and upcoming adventure. Dive into the latest crafts by our animation virtuosos. Speakers include: Kiyotaka Waki,Yoshihiro Watanabe, and Justin Leach(Qubic Pictures). Don’t miss out!  ***This room will NOT be cleared for the next panel.***"
1,11:30 AM,12:30 PM,1130,1230,411,N,N,"One Piece, Sekko Boys, and Reimagined Histories in Anime","In this session of the JAMS@AX symposium, scholars will use One Piece’s “Wano Country” and Sekko Boys to critique imperial ideology, and the anime Descending Stories to highlight the art of rakugo. Join scholars Juan Carlos Fermin, Sierra Schiano, and Janine Sun as presenting their research. ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,11:30 AM,12:20 PM,1130,1220,511-ABC,N,N,"Cosplay Armory 101 - Foam, Worbla, and Other Media","Do you want to make your own armor, props, and cosplay accessories but don't know where to start? Join Zavage Cosplay for a panel on cosplay armor craftsmanship and prop making using materials such as foam, thermoplastic, resin, 3D printing and other media.

* Presented by AX24 Cosplay Senpai Zavage Cosplay ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
1,11:30 AM,12:20 PM,1130,1220,main-events,N,N,Guilty Gear Strive - Special Event,The story continues! Get an exclusive sneak peek at what's next for Guilty Gear Strive! We'll be having some very special guests to provide insider info. It's going to be BIG and you won't want to miss it! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***
