day,start,end,start_time,end_time,room,cleared,title,description
1,1:00 PM,2:00 PM,1300,1400,ax-dance,?,KPOP Dance Workshop #1,
1,3:00 PM,4:00 PM,1500,1600,ax-dance,?,JPOP Dance Workshop #1,
1,5:00 PM,6:00 PM,1700,1800,ax-dance,?,Random Dance Play - KPOP Edition,
1,8:00 PM,12:00 AM,2000,0000,ax-dance,?,DJ Collective B2B Block (HYPERLOCK, Yx2, Syntho, Slappy),
1,12:00 AM,1:00 AM,0000,0100,ax-dance,?,Synthion,
1,1:00 AM,2:00 AM,0100,0200,ax-dance,?,Miotchi,
2,1:00 PM,2:00 PM,1300,1400,ax-dance,?,ParaPara / Eurobeat Workshop with Odyssey Eurobeat,
2,2:00 PM,3:00 PM,1400,1500,ax-dance,?,ParaPara / Eurobeat Dance Party with Odyssey Eurobeat,
2,4:00 PM,5:00 PM,1600,1700,ax-dance,?,KPOP Dance Workshop #2,
2,8:00 PM,9:00 PM,2000,2100,ax-dance,?,D-Tor,
2,9:00 PM,10:00 PM,2100,2200,ax-dance,?,nichi,
2,10:00 PM,11:00 PM,2200,2300,ax-dance,?,Slappy B2B Syntho,
2,11:00 PM,12:00 AM,2300,0000,ax-dance,?,AIKA,
2,12:00 AM,1:00 AM,0000,0100,ax-dance,?,Similar Outskirts,
2,1:00 AM,2:00 AM,0100,0200,ax-dance,?,MEIRLIN,
3,2:00 PM,3:00 PM,1400,1500,ax-dance,?,JPOP Dance Workshop #2,
3,4:00 PM,6:00 PM,1600,1800,ax-dance,?,AX JPOP Dance Battles,
3,8:00 PM,9:00 PM,2000,2100,ax-dance,?,AVARIX,
3,9:00 PM,10:00 PM,2100,2200,ax-dance,?,REVOLUTION BOI,
3,10:00 PM,11:00 PM,2200,2300,ax-dance,?,The Red Panda,
3,11:00 PM,12:00 AM,2300,0000,ax-dance,?,Miotchi,
3,12:00 AM,1:00 AM,0000,0100,ax-dance,?,MEIRLIN,
3,1:00 AM,2:00 AM,0100,0200,ax-dance,?,HYPERLOCK,
4,10:30 AM,12:00 PM,1030,1200,ax-dance,?,Japanese Folk Dancing,
