day,start,end,start_time,end_time,room,cleared,title,description
1,1:00 PM,2:00 PM,1300,1400,lounge21,?,Musical Mylow and St. Baritony,
1,3:00 PM,4:00 PM,1500,1600,lounge21,?,Breeton Boi,
1,5:00 PM,6:00 PM,1700,1800,lounge21,?,S4X,
1,7:00 PM,8:00 PM,1900,2000,lounge21,?,Eririn & Welksie,
1,9:00 PM,10:30 PM,2100,2230,lounge21,?,Super Soul Bros,
1,11:30 PM,12:30 AM,2330,0030,lounge21,?,Chinsaku,
2,10:00 AM,2:00 PM,1000,1400,lounge21,?,Idea Factory Event,
2,5:30 PM,6:30 PM,1730,1830,lounge21,?,Lethal Souffle,
2,7:30 PM,8:30 PM,1930,2030,lounge21,?,BLOW Brass,
2,9:30 PM,10:30 PM,2130,2230,lounge21,?,Shao Dow,
2,11:30 PM,12:30 AM,2330,0030,lounge21,?,DJ Disc Jockey,
3,1:30 PM,2:30 PM,1330,1430,lounge21,?,Colin & Steve's LoFi Living Room,
3,3:30 PM,4:30 PM,1530,1630,lounge21,?,SKY CITIZEN,
3,5:30 PM,6:30 PM,1730,1830,lounge21,?,Stephanie Yanez,
3,7:30 PM,8:30 PM,1930,2030,lounge21,?,Team 7,
3,9:30 PM,10:30 PM,2130,2230,lounge21,?,PiNKII,
3,11:30 PM,12:30 AM,2330,0030,lounge21,?,Nekomi,
4,12:30 PM,1:30 PM,1230,1330,lounge21,?,Yx2,
