day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description
1,10:30 AM,11:20 AM,1030,1120,main-events,?,N,Welcome Ceremony,The Welcome Ceremony is one of the most highly anticipated main events programming. It is where many AX attendees kick off the start of their Anime Expo adventure. ***This room will NOT be cleared for the next panel.***
1,10:00 AM,10:50 AM,1000,1050,402-AB,?,N,Creativity in Cosplay: A POC's Guide,"Are you nervous about how to start cosplaying? Are there many characters that may not look like you? Panelists will dive into how they handle potential backlash and beginner tips for starting. If you are just a beginner or a vet, come and learn new and exciting ways to style wigs, props, and more. ***This room will NOT be cleared for the next panel.***"
1,10:00 AM,10:50 AM,1000,1050,403-AB,?,N,How to Draw Attractive Characters,"MinoMiyabi is an artist who contributed to Gorillaz, Yungblud, Alison Wonderland, Poppy, Balmain and Disney WDI. In his workshop, MinoMiyabi introduces essential tips of how to create attractive anime characters from his new comics JEHANNE. You will find helpful gems to create your own characters! ***This room will NOT be cleared for the next panel.***"
1,10:00 AM,10:50 AM,1000,1050,404-AB,?,N,Twisted Science in Twisted Wonderland,"Join scientists from education group Cosplay for Science in discussing how Twisted Wonderland twists science facts with fiction, such as: how does Idia comb his fiery hair? What is the chemistry of blot stones? How do transformation potions work, and are any characters using them... twistedly? ***This room will NOT be cleared for the next panel.***"
1,10:00 AM,10:50 AM,1000,1050,409-AB,?,N,"""The Future is Now, Old Man!"" - Using AI as a GM tool in your RPG experience""","AI and machine learning have opened many new frontiers, but it does have it's limits. This talk will focus on openAI's ChatGPT as a tool for helping run your tabletop RPGs, and where is can and cannot help you. ***This room will NOT be cleared for the next panel.***"
1,11:00 AM,11:50 AM,1100,1150,petree-hall,?,?,COLORFUL STAGE! with Tomori Kusunoki & Hinata Sato,"Meet Tomori Kusunoki and Hinata Sato, the voices behind Kanade Yoisaki and Mizuki Akiyama, as they talk about everything HATSUNE MIKU: COLORFUL STAGE! Join us for an exciting journey through SEKAI."
1,11:00 AM,12:20 PM,1100,1220,jw-platinum,?,N,Meet Kafka Asagiri—Creator of Bungo Stray Dogs,"Meet Kafka Asagiri, creator of Bungo Stray Dogs, one of the most iconic manga and anime properties of the past decade. Witness him delve into his background as a storyteller and discuss the creation of Bungo Stray Dogs in an insightful conversation! ***This room will NOT be cleared for the next panel.***"
1,11:00 AM,11:50 AM,1100,1150,408-AB,?,N,Who's That Pokemon!,"With over 1,000 Pokemon, do you think you can name them all? Audience members will be randomly selected to compete and name pokemon based on descriptors. Win gym badges or a rare candy for playing! ***This room will NOT be cleared for the next panel.***"
1,11:00 AM,11:50 AM,1100,1150,411,?,N,Advancing Anime Studies: Building Anime's Academic Journals!,"Learn how scholarly work on anime is published and the exciting history of anime studies' two journals, Mechademia and the Journal of Anime and Manga Studies! ***This room will NOT be cleared for the next panel.*** "
1,11:00 AM,11:50 AM,1100,1150,511,?,N,Videogame Localization with Rocket Panda Games,"The localization team of Rocket Panda Games, talks about their experience in translating and interpreting anime and video games. ***This room will NOT be cleared for the next panel.***"
1,11:00 AM,12:00 PM,1100,1200,515-B,?,?,Maid Cafe,"Escape from reality and step into a world full of moe. Inspired by the maid cafes of Akihabara, Anime Expo’s Maid Café has been one of our most popular events. Our cute and courteous maids are ready to entertain you, whether they break out in song and dance or settle in with your table to play a game. Enjoy a drink and an interactive show, and don’t forget to thank the maids on your way out!"
1,11:30 AM,12:20 PM,1130,1220,402-AB,N,N,Madoka Magica - More than you think! Spinoffs and more!,"Are you a fan of Madoka Magica and have only seen the TV anime? Want to hear about the several fantastic spinoffs of the series! Join our panel on Madoka Magica's extended media, from manga to gachas to mobile games and more! ***This room will NOT be cleared prior to this panel. This room will NOT be cleared after this panel.***"
